spi1,prob1,proj_score1,importance1,score1,xg1,nsxg1
31.78,0.2713,0.93,0.0,4.0,0.79,1.11
56.02,0.0982,0.91,4.3,0.0,1.28,0.95
62.15,0.4785,1.22,0.0,1.0,1.91,2.01
54.82,0.5485,1.46,48.1,1.0,2.1,1.82
71.51,0.4946,1.58,47.3,1.0,2.04,2.45
49.53,0.4388,1.34,2.0,3.0,1.7,1.12
64.56,0.5155,1.38,38.6,1.0,2.02,1.53
68.48,0.2861,1.25,2.7,0.0,0.95,0.77
38.2,0.5829,1.66,8.1,2.0,0.53,0.52
64.25,0.6689,2.06,88.2,3.0,1.35,0.71
50.48,0.4108,1.21,42.4,1.0,1.72,1.81
48.13,0.5744,2.08,56.2,2.0,2.22,2.03
90.74,0.6605,2.16,45.8,1.0,2.12,1.78
62.62,0.2627,1.09,0.0,1.0,0.26,0.61
43.35,0.3248,1.11,39.3,3.0,2.31,0.84
61.96,0.3102,1.19,0.0,2.0,2.4,1.14
92.61,0.8564,2.61,83.0,2.0,1.15,2.45
37.49,0.5404,1.71,11.4,1.0,1.03,1.27
66.45,0.6221,1.98,9.8,3.0,1.6,1.67
59.99,0.5221,1.66,27.2,0.0,1.07,1.29
54.1,0.4091,1.29,34.6,0.0,0.67,1.13
47.72,0.2485,0.94,2.1,0.0,1.73,1.55
80.53,0.7023,2.29,82.2,1.0,1.42,2.06
80.7,0.3484,1.55,44.2,1.0,0.66,2.02
55.91,0.4585,1.41,50.4,0.0,0.48,0.76
55.41,0.2806,1.0,0.9,1.0,1.42,1.44
59.58,0.3218,1.22,42.7,3.0,1.74,1.15
55.32,0.3802,1.33,27.1,3.0,1.96,2.06
83.47,0.608,1.43,0.0,2.0,1.42,1.24
56.23,0.5112,1.61,37.7,1.0,1.53,0.62
64.43,0.4834,1.65,9.6,2.0,0.88,1.71
86.47,0.7734,2.25,100.0,4.0,1.86,3.22
35.14,0.2417,0.96,46.2,1.0,0.88,0.91
26.93,0.1643,0.88,0.0,0.0,0.35,0.24
57.2,0.44299999999999995,1.34,13.7,1.0,1.9,1.17
43.24,0.4875,1.84,3.4,2.0,2.21,1.54
59.4,0.4139,1.38,18.5,0.0,1.51,0.67
37.58,0.5708,2.17,34.3,4.0,2.19,2.13
56.72,0.33899999999999997,1.32,37.1,1.0,0.85,1.05
36.93,0.3909,1.24,0.1,0.0,0.75,0.44
62.09,0.122,1.0,4.5,1.0,1.06,1.04
50.53,0.3261,1.08,19.8,2.0,1.23,1.31
68.16,0.4383,1.39,9.0,0.0,0.53,1.66
38.85,0.5055,1.58,7.9,0.0,1.68,1.34
20.89,0.4395,1.7,7.8,2.0,1.0,0.59
49.0,0.4915,1.56,21.1,4.0,2.03,1.38
43.48,0.42,1.44,16.1,2.0,1.42,3.11
60.47,0.5023,2.0,19.2,2.0,0.89,1.39
67.28,0.486,1.61,58.5,0.0,0.36,0.88
39.31,0.2294,1.21,12.1,1.0,0.74,0.84
58.92,0.6442,1.8,51.5,2.0,1.3,1.33
40.54,0.3391,1.23,19.4,0.0,0.77,0.7
62.66,0.2906,1.09,10.4,2.0,4.43,1.72
63.09,0.5181,1.49,0.9,3.0,1.82,0.84
77.72,0.862,2.67,68.2,3.0,2.18,2.64
71.78,0.6878,2.84,91.5,2.0,2.03,0.74
72.55,0.4931,1.81,63.7,1.0,1.03,1.88
67.97,0.14,0.96,29.8,1.0,1.97,1.1
25.35,0.3381,1.25,55.4,1.0,0.82,0.89
64.86,0.5383,1.8,50.7,2.0,1.17,1.07
57.91,0.3443,1.44,8.0,2.0,1.01,1.5
54.89,0.6068,1.59,27.4,2.0,1.73,2.15
48.39,0.3574,1.29,17.7,1.0,0.92,2.37
71.92,0.2835,1.25,30.2,0.0,0.64,1.27
68.13,0.4498,1.53,57.3,0.0,1.51,1.35
64.19,0.3749,1.33,45.6,2.0,0.6,1.27
87.17,0.8436,2.36,0.6,1.0,1.37,1.54
79.53,0.5696,1.84,99.3,3.0,1.32,0.48
44.07,0.424,1.34,16.8,1.0,1.03,0.61
41.82,0.4907,1.48,36.4,0.0,1.44,1.93
42.42,0.4971,1.33,59.2,0.0,1.38,1.43
50.59,0.5289,1.59,0.1,0.0,0.83,1.34
55.07,0.6496,1.69,33.0,4.0,2.42,1.7
19.71,0.3838,1.26,37.7,1.0,1.66,1.04
38.4,0.4056,1.35,28.7,2.0,1.31,1.14
54.35,0.5389,1.86,12.1,1.0,1.24,1.49
40.86,0.3858,1.36,12.0,0.0,0.83,2.02
55.46,0.618,1.74,8.1,1.0,0.61,0.99
92.6,0.8858,2.89,59.5,3.0,3.58,4.09
36.16,0.3413,1.18,46.8,1.0,2.0,1.74
60.18,0.5965,2.1,0.0,3.0,2.5,1.6
62.75,0.3603,1.34,0.0,2.0,0.81,0.87
51.27,0.4146,1.54,43.7,3.0,1.95,1.6
64.3,0.5195,1.53,9.0,2.0,1.64,2.14
66.52,0.5408,1.65,41.4,0.0,1.82,2.28
61.01,0.6302,1.8,14.6,2.0,0.71,1.21
52.38,0.5602,1.58,1.3,3.0,2.14,2.04
58.63,0.6537,1.95,53.8,1.0,3.27,1.61
37.38,0.3785,1.23,26.6,1.0,1.01,0.66
42.35,0.3788,1.22,1.2,3.0,1.67,1.03
63.43,0.7302,1.77,73.0,1.0,1.5,2.24
91.91,0.7495,2.61,90.7,1.0,2.16,1.76
60.84,0.4189,1.37,18.3,2.0,1.14,0.93
54.28,0.4971,1.48,37.8,0.0,0.44,1.38
58.01,0.49,1.6,30.7,1.0,1.03,1.76
21.64,0.4613,1.48,51.3,2.0,3.25,2.66
51.23,0.4525,1.39,0.0,5.0,2.87,1.53
52.52,0.4174,1.4,49.1,1.0,1.39,1.12
66.62,0.6784,2.08,87.6,2.0,1.56,1.52
82.33,0.7767,2.26,61.0,1.0,2.44,3.05
63.19,0.4762,1.54,43.2,0.0,0.36,1.55
94.72,0.8942,2.46,11.1,3.0,2.78,1.39
66.46,0.4609,1.46,36.8,0.0,1.17,1.59
27.47,0.363,1.27,3.8,1.0,0.84,0.97
50.92,0.5848,1.93,24.7,3.0,2.05,1.86
55.19,0.4214,1.35,43.6,0.0,1.11,0.84
66.31,0.5587,1.76,18.0,2.0,2.28,1.26
52.72,0.4358,1.57,30.2,0.0,1.91,1.33
66.13,0.602,1.83,20.7,4.0,1.53,2.23
47.71,0.5214,1.72,34.9,2.0,1.85,0.56
32.7,0.3406,1.16,11.8,1.0,1.43,0.59
51.39,0.3429,1.1,41.6,3.0,2.24,1.59
68.46,0.4331,1.45,9.8,3.0,1.63,1.5
28.8,0.4362,1.49,0.8,3.0,2.78,1.46
53.81,0.3984,1.31,26.4,0.0,0.87,1.05
67.06,0.5771,1.79,36.0,3.0,2.53,1.71
57.56,0.3927,1.54,5.8,2.0,1.42,1.26
57.02,0.4197,1.41,33.4,3.0,1.41,1.18
56.57,0.3858,1.5,1.5,0.0,0.62,0.71
70.76,0.512,1.39,14.9,2.0,1.2,1.31
42.02,0.4473,1.47,12.2,0.0,0.49,1.16
61.3,0.3474,1.36,1.1,2.0,1.64,0.93
35.28,0.4517,1.56,0.0,3.0,2.64,2.36
32.8,0.4919,1.67,0.1,2.0,1.96,2.72
33.42,0.2724,0.97,16.0,2.0,0.32,0.52
44.36,0.2062,0.9,33.3,0.0,0.45,0.91
74.2,0.7002,2.08,42.2,0.0,2.4,2.55
60.33,0.5271,1.7,18.3,5.0,2.99,1.76
34.58,0.3324,1.23,19.4,2.0,1.43,1.61
56.32,0.4779,1.27,4.8,0.0,0.38,1.43
62.37,0.1937,1.08,44.8,1.0,0.2,0.75
37.13,0.2458,1.05,30.6,0.0,0.39,1.28
59.84,0.1259,0.76,0.0,1.0,1.11,1.14
60.79,0.5351,1.66,13.1,3.0,1.7,1.38
50.4,0.3321,1.32,31.5,0.0,0.53,0.96
73.77,0.6244,1.86,64.9,0.0,0.57,1.48
34.89,0.3684,1.35,31.5,2.0,0.67,1.16
69.78,0.4984,1.67,26.8,0.0,0.69,1.47
39.46,0.3943,1.4,20.1,1.0,1.17,1.65
48.35,0.3838,1.26,57.9,1.0,3.5,1.35
77.33,0.8591,2.4,100.0,4.0,3.92,2.12
69.37,0.5651,1.68,6.5,0.0,1.36,2.16
63.25,0.5495,1.43,84.9,2.0,1.27,1.07
41.03,0.3265,1.0,56.3,1.0,0.67,0.52
79.17,0.6578,1.96,22.2,3.0,1.6,1.64
65.87,0.4998,1.45,0.0,3.0,1.74,2.15
56.87,0.638,1.88,23.6,2.0,2.19,2.23
38.75,0.2816,1.04,93.2,2.0,1.19,0.62
88.88,0.8962,3.32,0.0,1.0,1.9,2.37
57.78,0.6234,1.7,7.0,3.0,1.88,1.81
47.37,0.4539,1.46,49.5,0.0,0.97,1.7
61.69,0.5737,1.85,100.0,0.0,0.7,0.45
91.37,0.6924,2.3,82.2,3.0,3.11,2.93
75.8,0.5586,1.56,55.4,0.0,1.19,2.28
69.55,0.4452,1.63,29.5,1.0,2.1,1.35
75.01,0.5164,1.63,24.4,0.0,1.36,1.75
44.37,0.4847,1.79,9.2,0.0,1.68,1.55
44.36,0.3445,1.33,100.0,0.0,0.23,0.62
49.63,0.4013,1.22,27.7,2.0,1.32,1.32
69.11,0.3982,1.43,29.5,1.0,2.49,1.22
81.05,0.6197,1.85,61.8,2.0,1.37,1.59
24.96,0.2794,1.12,19.9,2.0,2.1,0.79
62.85,0.5026,1.42,84.5,2.0,1.53,1.26
44.34,0.1826,1.1,0.1,0.0,1.08,1.41
37.24,0.2798,1.17,43.3,1.0,0.2,0.38
67.97,0.5132,1.76,17.4,2.0,1.75,2.08
53.35,0.386,1.21,32.1,0.0,1.3,1.44
57.73,0.5007,1.44,100.0,2.0,0.88,0.9
34.56,0.2229,1.33,16.4,3.0,1.73,0.96
87.84,0.7464,1.97,64.8,1.0,0.84,0.79
47.82,0.405,1.41,28.4,2.0,1.16,2.58
